gene gene_id gene_type chromosome start_position end_position pLI gene_midpoint
CDK11B ENSG00000248333 protein_coding 1 1570603 1590473 6.4813e-05 1580538.0
SLC35E2B ENSG00000189339 protein_coding 1 1592939 1624167 0.0026282 1608553.0
CDK11A ENSG00000008128 protein_coding 1 1634169 1655766 1.3850000000000001e-17 1644967.0
SLC35E2 ENSG00000215790 protein_coding 1 1656277 1677431 0.00076215 1666854.0
NADK ENSG00000008130 protein_coding 1 1682671 1711896 1.1284000000000001e-10 1697283.0
GNB1 ENSG00000078369 protein_coding 1 1716729 1822495 0.9992 1769612.0
CALML6 ENSG00000169885 protein_coding 1 1846266 1848735 2.6089000000000003e-08 1847500.0
TMEM52 ENSG00000178821 protein_coding 1 1849029 1850712 0.014909 1849870.0
C1orf222 ENSG00000142609 protein_coding 1 1853396 1935276 8.7836e-11 1894336.0
GABRD ENSG00000187730 protein_coding 1 1950780 1962192 0.99345 1956486.0
PRKCZ ENSG00000067606 protein_coding 1 1981909 2116834 0.541 2049371.0
C1orf86 ENSG00000162585 protein_coding 1 2115903 2144159 0.52558 2130031.0
SKI ENSG00000157933 protein_coding 1 2160134 2241558 0.9990100000000001 2200846.0
MORN1 ENSG00000116151 protein_coding 1 2252692 2323146 1.6137e-11 2287919.0
RER1 ENSG00000157916 protein_coding 1 2323267 2336883 0.37879 2330075.0
PEX10 ENSG00000157911 protein_coding 1 2336236 2345236 0.00054204 2340736.0
PLCH2 ENSG00000149527 protein_coding 1 2357419 2436969 1.8065e-18 2397194.0
PANK4 ENSG00000157881 protein_coding 1 2439972 2458039 0.98325 2449005.0
HES5 ENSG00000197921 protein_coding 1 2460184 2461684 0.24881999999999999 2460934.0
TNFRSF14 ENSG00000157873 protein_coding 1 2487078 2496821 0.80752 2491949.0
FAM213B ENSG00000157870 protein_coding 1 2517930 2522908 1.5148e-05 2520419.0
MMEL1 ENSG00000142606 protein_coding 1 2522078 2564481 1.2441e-22 2543279.0
TTC34 ENSG00000215912 protein_coding 1 2567415 2718286 6.481600000000001e-11 2642850.0
ACTRT2 ENSG00000169717 protein_coding 1 2938046 2939465 0.0004766 2938755.0
PRDM16 ENSG00000142611 protein_coding 1 2985732 3355185 0.9999899999999999 3170458.0
ARHGEF16 ENSG00000130762 protein_coding 1 3370990 3397677 4.705600000000001e-13 3384333.0
MEGF6 ENSG00000162591 protein_coding 1 3406484 3528059 3.7964999999999997e-34 3467271.0
TPRG1L ENSG00000158109 protein_coding 1 3541566 3546691 8.472100000000001e-07 3544128.0
WRAP73 ENSG00000116213 protein_coding 1 3547331 3569325 1.4988e-06 3558328.0
TP73 ENSG00000078900 protein_coding 1 3569084 3652765 0.9969600000000001 3610924.0
CCDC27 ENSG00000162592 protein_coding 1 3668962 3688209 2.8656999999999997e-28 3678585.0
SMIM1 ENSG00000235169 protein_coding 1 3689352 3692546 0.032962 3690949.0
LRRC47 ENSG00000130764 protein_coding 1 3696784 3713068 0.87056 3704926.0
CEP104 ENSG00000116198 protein_coding 1 3728645 3773778 1.2281e-12 3751211.0
DFFB ENSG00000169598 protein_coding 1 3773845 3801993 1.1349000000000001e-05 3787919.0
C1orf174 ENSG00000198912 protein_coding 1 3805689 3816857 0.0001068 3811273.0
AJAP1 ENSG00000196581 protein_coding 1 4714792 4852594 0.99469 4783693.0
NPHP4 ENSG00000131697 protein_coding 1 5922871 6052533 1.743e-29 5987702.0
KCNAB2 ENSG00000069424 protein_coding 1 6051526 6161253 0.79978 6106389.0
CHD5 ENSG00000116254 protein_coding 1 6161853 6240183 1.0 6201018.0
RPL22 ENSG00000116251 protein_coding 1 6241329 6269449 0.15619 6255389.0
RNF207 ENSG00000158286 protein_coding 1 6265535 6281359 5.4736e-12 6273447.0
ICMT ENSG00000116237 protein_coding 1 6281253 6296032 0.79377 6288642.0
HES3 ENSG00000173673 protein_coding 1 6304252 6305638 0.27710999999999997 6304945.0
GPR153 ENSG00000158292 protein_coding 1 6307406 6321035 6.876399999999999e-07 6314220.0
ACOT7 ENSG00000097021 protein_coding 1 6324329 6454451 0.75926 6389390.0
HES2 ENSG00000069812 protein_coding 1 6472478 6484730 0.0026323 6478604.0
ESPN ENSG00000187017 protein_coding 1 6484848 6521430 2.8666999999999996e-09 6503139.0
TNFRSF25 ENSG00000215788 protein_coding 1 6521211 6526255 0.008647499999999999 6523733.0
PLEKHG5 ENSG00000171680 protein_coding 1 6526152 6580121 3.3605000000000003e-06 6553136.0
NOL9 ENSG00000162408 protein_coding 1 6581407 6614595 0.008884 6598001.0
TAS1R1 ENSG00000173662 protein_coding 1 6615241 6639817 7.3432e-14 6627529.0
ZBTB48 ENSG00000204859 protein_coding 1 6640061 6649340 0.00011507 6644700.0
KLHL21 ENSG00000162413 protein_coding 1 6650784 6674667 6.3071e-07 6662725.0
PHF13 ENSG00000116273 protein_coding 1 6673745 6684093 0.9804200000000001 6678919.0
THAP3 ENSG00000041988 protein_coding 1 6684926 6695646 0.0072819 6690286.0
DNAJC11 ENSG00000007923 protein_coding 1 6694228 6761984 0.9989299999999999 6728106.0
CAMTA1 ENSG00000171735 protein_coding 1 6845384 7829766 1.0 7337575.0
VAMP3 ENSG00000049245 protein_coding 1 7831329 7841492 0.0025881999999999997 7836410.0
PER3 ENSG00000049246 protein_coding 1 7844380 7905237 1.3660999999999998e-17 7874808.0
UTS2 ENSG00000049247 protein_coding 1 7903143 7913572 0.031612 7908357.0
TNFRSF9 ENSG00000049249 protein_coding 1 7979907 8000926 0.32153000000000004 7990416.0
PARK7 ENSG00000116288 protein_coding 1 8014351 8045565 0.75335 8029958.0
ERRFI1 ENSG00000116285 protein_coding 1 8064464 8086368 0.012152 8075416.0
SLC45A1 ENSG00000162426 protein_coding 1 8377886 8404227 2.4761e-05 8391056.0
RERE ENSG00000142599 protein_coding 1 8412457 8877702 1.0 8645079.0
ENO1 ENSG00000074800 protein_coding 1 8921061 8939308 1.914e-05 8930184.0
CA6 ENSG00000131686 protein_coding 1 9005926 9035151 0.00035958 9020538.0
SLC2A7 ENSG00000197241 protein_coding 1 9063359 9086404 5.5393000000000004e-21 9074881.0
SLC2A5 ENSG00000142583 protein_coding 1 9095166 9148537 3.5691e-10 9121851.0
GPR157 ENSG00000180758 protein_coding 1 9160364 9189229 0.00097453 9174796.0
H6PD ENSG00000049239 protein_coding 1 9294834 9331396 8.5874e-09 9313115.0
SPSB1 ENSG00000171621 protein_coding 1 9352939 9429591 0.51982 9391265.0
SLC25A33 ENSG00000171612 protein_coding 1 9599541 9645237 0.0059223 9622389.0
TMEM201 ENSG00000188807 protein_coding 1 9648932 9674935 0.9900399999999999 9661933.0
C1orf200 ENSG00000179840 protein_coding 1 9712668 9714644 0.029774000000000002 9713656.0
PIK3CD ENSG00000171608 protein_coding 1 9711790 9789172 0.9999899999999999 9750481.0
CLSTN1 ENSG00000171603 protein_coding 1 9789084 9884584 0.97757 9836834.0
CTNNBIP1 ENSG00000178585 protein_coding 1 9908334 9970394 0.024772 9939364.0
LZIC ENSG00000162441 protein_coding 1 9982173 10003465 0.0011710999999999998 9992819.0
NMNAT1 ENSG00000173614 protein_coding 1 10003486 10045559 0.035352999999999996 10024522.0
RBP7 ENSG00000162444 protein_coding 1 10057264 10076078 0.54133 10066671.0
UBE4B ENSG00000130939 protein_coding 1 10092890 10241297 1.0 10167093.0
KIF1B ENSG00000054523 protein_coding 1 10270863 10441661 1.0 10356262.0
PGD ENSG00000142657 protein_coding 1 10458649 10480201 0.98788 10469425.0
APITD1 ENSG00000175279 protein_coding 1 10490159 10512210 5.75e-06 10501184.0
CORT ENSG00000241563 protein_coding 1 10509776 10511959 0.013143 10510867.0
DFFA ENSG00000160049 protein_coding 1 10516579 10532583 8.6585e-05 10524581.0
PEX14 ENSG00000142655 protein_coding 1 10532345 10690815 0.22566 10611580.0
CASZ1 ENSG00000130940 protein_coding 1 10696661 10856707 1.0 10776684.0
C1orf127 ENSG00000175262 protein_coding 1 11006528 11042094 1.4917e-11 11024311.0
TARDBP ENSG00000120948 protein_coding 1 11072414 11085796 0.9854200000000001 11079105.0
MASP2 ENSG00000009724 protein_coding 1 11086580 11107290 3.0427999999999997e-14 11096935.0
SRM ENSG00000116649 protein_coding 1 11114641 11120081 0.23479 11117361.0
EXOSC10 ENSG00000171824 protein_coding 1 11126675 11159938 1.9676e-14 11143306.0
MTOR ENSG00000198793 protein_coding 1 11166592 11322564 1.0 11244578.0
ANGPTL7 ENSG00000171819 protein_coding 1 11249398 11256038 9.167999999999999e-17 11252718.0
UBIAD1 ENSG00000120942 protein_coding 1 11333263 11356106 0.019528999999999998 11344684.0
PTCHD2 ENSG00000204624 protein_coding 1 11539223 11597641 3.626e-08 11568432.0
FBXO2 ENSG00000116661 protein_coding 1 11708424 11715842 0.00021527 11712133.0
FBXO44 ENSG00000132879 protein_coding 1 11714432 11723384 2.1091e-06 11718908.0
FBXO6 ENSG00000116663 protein_coding 1 11724181 11734411 0.015153 11729296.0
MAD2L2 ENSG00000116670 protein_coding 1 11734537 11751707 0.082082 11743122.0
DRAXIN ENSG00000162490 protein_coding 1 11751786 11785914 1.8935e-10 11768850.0
AGTRAP ENSG00000177674 protein_coding 1 11796141 11814859 0.18842 11805500.0
C1orf167 ENSG00000215910 protein_coding 1 11821844 11849642 9.1452e-34 11835743.0
MTHFR ENSG00000177000 protein_coding 1 11845780 11866977 3.2067999999999997e-10 11856378.0
CLCN6 ENSG00000011021 protein_coding 1 11866207 11903201 6.1077e-08 11884704.0
NPPA ENSG00000175206 protein_coding 1 11905766 11908402 0.00054522 11907084.0
NPPB ENSG00000120937 protein_coding 1 11917521 11918988 9.8786e-06 11918254.0
KIAA2013 ENSG00000116685 protein_coding 1 11979648 11986485 0.0097782 11983066.0
PLOD1 ENSG00000083444 protein_coding 1 11994262 12035595 1.4837e-15 12014928.0
MFN2 ENSG00000116688 protein_coding 1 12040238 12073571 0.99415 12056904.0
MIIP ENSG00000116691 protein_coding 1 12079523 12092102 1.3121e-20 12085812.0
TNFRSF8 ENSG00000120949 protein_coding 1 12123434 12204264 0.8640700000000001 12163849.0
TNFRSF1B ENSG00000028137 protein_coding 1 12227060 12269285 0.5020100000000001 12248172.0
VPS13D ENSG00000048707 protein_coding 1 12290124 12572099 1.0748999999999999e-06 12431111.0
DHRS3 ENSG00000162496 protein_coding 1 12627939 12677737 0.22580999999999998 12652838.0
AADACL4 ENSG00000204518 protein_coding 1 12704566 12727097 0.0001543 12715831.0
AADACL3 ENSG00000188984 protein_coding 1 12776118 12788726 0.011889 12782422.0
C1orf158 ENSG00000157330 protein_coding 1 12806163 12823847 0.00025309 12815005.0
PRAMEF12 ENSG00000116726 protein_coding 1 12834984 12838049 5.2721000000000006e-05 12836516.0
PRAMEF1 ENSG00000116721 protein_coding 1 12851546 12856777 3.2165e-11 12854161.0
HNRNPCL1 ENSG00000179172 protein_coding 1 12907261 12908578 0.37278 12907919.0
PRAMEF2 ENSG00000120952 protein_coding 1 12916941 12921764 4.744599999999999e-10 12919352.0
PRAMEF4 ENSG00000243073 protein_coding 1 12939045 12946025 1.0208999999999999e-11 12942535.0
PRAMEF10 ENSG00000187545 protein_coding 1 12952727 12958101 0.0011128 12955414.0
PRAMEF7 ENSG00000204510 protein_coding 1 12976450 12980569 0.33075 12978509.0
PRAMEF6 ENSG00000232423 protein_coding 1 12998181 13117751 2.6109000000000002e-11 13057966.0
PRAMEF26 ENSG00000229571 protein_coding 1 13216356 13219581 3.3134999999999996e-07 13217968.0
PRAMEF14 ENSG00000204481 protein_coding 1 13668269 13673511 0.29026 13670890.0
LRRC38 ENSG00000162494 protein_coding 1 13801445 13840543 0.14423 13820994.0
PDPN ENSG00000162493 protein_coding 1 13909960 13944452 0.00032048 13927206.0
PRDM2 ENSG00000116731 protein_coding 1 14026693 14151574 0.9999600000000001 14089133.0
KAZN ENSG00000189337 protein_coding 1 14925200 15444539 0.5967100000000001 15184869.0
C1orf195 ENSG00000204464 protein_coding 1 15490840 15497813 0.16768 15494326.0
TMEM51 ENSG00000171729 protein_coding 1 15479028 15546976 0.30495 15513002.0
FHAD1 ENSG00000142621 protein_coding 1 15573768 15726779 0.00013667 15650273.0
EFHD2 ENSG00000142634 protein_coding 1 15736391 15756839 0.009098100000000001 15746615.0
CTRC ENSG00000162438 protein_coding 1 15764935 15775737 1.2851e-12 15770336.0
CELA2A ENSG00000142615 protein_coding 1 15783223 15798586 1.9736e-16 15790904.0
CELA2B ENSG00000215704 protein_coding 1 15792404 15817895 2.5651e-06 15805149.0
CASP9 ENSG00000132906 protein_coding 1 15817327 15853029 7.3826e-06 15835178.0
DNAJC16 ENSG00000116138 protein_coding 1 15853308 15918874 3.6232e-11 15886091.0
AGMAT ENSG00000116771 protein_coding 1 15898848 15911605 1.2369000000000002e-07 15905226.0
DDI2 ENSG00000197312 protein_coding 1 15943995 15995539 0.9981899999999999 15969767.0
PLEKHM2 ENSG00000116786 protein_coding 1 16010827 16061264 1.7077e-05 16036045.0
SLC25A34 ENSG00000162461 protein_coding 1 16062900 16067891 4.7126999999999996e-07 16065395.0
TMEM82 ENSG00000162460 protein_coding 1 16068917 16074477 3.0094e-07 16071697.0
FBLIM1 ENSG00000162458 protein_coding 1 16083102 16113089 5.3941000000000004e-05 16098095.0
SPEN ENSG00000065526 protein_coding 1 16174359 16266955 1.0 16220657.0
ZBTB17 ENSG00000116809 protein_coding 1 16268364 16302627 0.9793299999999999 16285495.0
C1orf64 ENSG00000183888 protein_coding 1 16330731 16335302 0.10907 16333016.0
HSPB7 ENSG00000173641 protein_coding 1 16340523 16346089 0.016291999999999997 16343306.0
CLCNKA ENSG00000186510 protein_coding 1 16345370 16360545 4.2296000000000004e-17 16352957.0
CLCNKB ENSG00000184908 protein_coding 1 16370272 16383803 1.4025e-22 16377037.0
FAM131C ENSG00000185519 protein_coding 1 16384264 16400127 0.011477 16392195.0
EPHA2 ENSG00000142627 protein_coding 1 16450832 16482582 1.073e-05 16466707.0
ARHGEF19 ENSG00000142632 protein_coding 1 16524349 16539104 3.9492e-20 16531726.0
RSG1 ENSG00000132881 protein_coding 1 16558195 16563657 8.8551e-06 16560926.0
FBXO42 ENSG00000037637 protein_coding 1 16573334 16678949 0.99503 16626141.0
SZRD1 ENSG00000055070 protein_coding 1 16679070 16724640 0.59651 16701855.0
SPATA21 ENSG00000187144 protein_coding 1 16713612 16763919 1.1342e-17 16738765.0
NECAP2 ENSG00000157191 protein_coding 1 16767167 16786573 1.9626e-09 16776870.0
NBPF1 ENSG00000219481 protein_coding 1 16888814 16940057 2.3773e-25 16914435.0
CROCC ENSG00000058453 protein_coding 1 17066768 17299474 1.2656e-24 17183121.0
MFAP2 ENSG00000117122 protein_coding 1 17300997 17307330 4.2671e-06 17304163.0
ATP13A2 ENSG00000159363 protein_coding 1 17312453 17338423 8.9582e-09 17325438.0
SDHB ENSG00000117118 protein_coding 1 17345217 17380665 0.00024397 17362941.0
PADI2 ENSG00000117115 protein_coding 1 17393256 17445948 4.9471e-11 17419602.0
PADI1 ENSG00000142623 protein_coding 1 17531621 17572500 2.0388e-15 17552060.0
PADI3 ENSG00000142619 protein_coding 1 17575593 17610728 2.3615e-10 17593160.0
PADI4 ENSG00000159339 protein_coding 1 17634690 17690499 4.600100000000001e-16 17662594.0
RCC2 ENSG00000179051 protein_coding 1 17733256 17766220 0.95567 17749738.0
ARHGEF10L ENSG00000074964 protein_coding 1 17866330 18024369 0.00047308 17945349.0
ACTL8 ENSG00000117148 protein_coding 1 18081808 18153558 0.31835 18117683.0
IGSF21 ENSG00000117154 protein_coding 1 18434240 18704977 0.20911999999999997 18569608.0
KLHDC7A ENSG00000179023 protein_coding 1 18807424 18812478 4.9895000000000005e-19 18809951.0
PAX7 ENSG00000009709 protein_coding 1 18957500 19075360 0.14469 19016430.0
TAS1R2 ENSG00000179002 protein_coding 1 19166093 19186176 7.6139e-17 19176134.0
ALDH4A1 ENSG00000159423 protein_coding 1 19197926 19229275 1.3725e-05 19213600.0
IFFO2 ENSG00000169991 protein_coding 1 19230775 19283180 0.72617 19256977.0
UBR4 ENSG00000127481 protein_coding 1 19401000 19536770 1.0 19468885.0
EMC1 ENSG00000127463 protein_coding 1 19542158 19578046 6.7281e-26 19560102.0
MRTO4 ENSG00000053372 protein_coding 1 19578033 19586622 0.98629 19582327.0
AKR7A3 ENSG00000162482 protein_coding 1 19609052 19615744 1.0208999999999999e-19 19612398.0
AKR7A2 ENSG00000053371 protein_coding 1 19630459 19638640 1.9938000000000001e-10 19634549.0
PQLC2 ENSG00000040487 protein_coding 1 19638820 19655794 6.347899999999999e-05 19647307.0
CAPZB ENSG00000077549 protein_coding 1 19665267 19812066 0.91165 19738666.0
MINOS1 ENSG00000173436 protein_coding 1 19923477 19956314 0.78732 19939895.0
NBL1 ENSG00000158747 protein_coding 1 19967048 19984945 0.059017999999999994 19975996.0
HTR6 ENSG00000158748 protein_coding 1 19991780 20006055 0.00018524 19998917.0
TMCO4 ENSG00000162542 protein_coding 1 20008706 20126438 1.6674e-20 20067572.0
RNF186 ENSG00000178828 protein_coding 1 20140523 20141771 0.082589 20141147.0
OTUD3 ENSG00000169914 protein_coding 1 20209006 20239438 3.5645e-05 20224222.0
PLA2G2E ENSG00000188784 protein_coding 1 20246502 20250110 2.4363e-05 20248306.0
PLA2G2A ENSG00000188257 protein_coding 1 20301925 20306932 0.097278 20304428.0
PLA2G5 ENSG00000127472 protein_coding 1 20354672 20417683 5.383399999999999e-05 20386177.0
PLA2G2D ENSG00000117215 protein_coding 1 20438432 20446050 1.8079e-05 20442241.0
PLA2G2F ENSG00000158786 protein_coding 1 20465819 20476879 2.7094e-06 20471349.0
PLA2G2C ENSG00000187980 protein_coding 1 20487746 20503917 0.035718 20495831.0
UBXN10 ENSG00000162543 protein_coding 1 20512578 20522541 0.013862000000000001 20517559.0
VWA5B1 ENSG00000158816 protein_coding 1 20617412 20681387 9.1392e-33 20649399.0
CAMK2N1 ENSG00000162545 protein_coding 1 20808884 20812713 0.16680999999999999 20810798.0
MUL1 ENSG00000090432 protein_coding 1 20825943 20834654 1.9108e-06 20830298.0
FAM43B ENSG00000183114 protein_coding 1 20878932 20881512 0.10664000000000001 20880222.0
CDA ENSG00000158825 protein_coding 1 20915441 20945401 0.0081038 20930421.0
PINK1 ENSG00000158828 protein_coding 1 20959948 20978004 1.8749000000000002e-10 20968976.0
DDOST ENSG00000244038 protein_coding 1 20978270 20988000 0.00061409 20983135.0
KIF17 ENSG00000117245 protein_coding 1 20990507 21044510 3.7556e-18 21017508.0
SH2D5 ENSG00000189410 protein_coding 1 21046225 21059330 6.4459e-08 21052777.0
HP1BP3 ENSG00000127483 protein_coding 1 21069154 21113816 0.9842200000000001 21091485.0
EIF4G3 ENSG00000075151 protein_coding 1 21132963 21503377 1.0 21318170.0
ECE1 ENSG00000117298 protein_coding 1 21543740 21671997 0.9598700000000001 21607868.0
NBPF3 ENSG00000142794 protein_coding 1 21766621 21811498 8.0766e-19 21789059.0
ALPL ENSG00000162551 protein_coding 1 21835858 21904905 0.0003636 21870381.0
RAP1GAP ENSG00000076864 protein_coding 1 21922708 21995801 0.8437600000000001 21959254.0
USP48 ENSG00000090686 protein_coding 1 22004791 22110099 1.0 22057445.0
LDLRAD2 ENSG00000187942 protein_coding 1 22138758 22151714 0.00021385 22145236.0
HSPG2 ENSG00000142798 protein_coding 1 22148738 22263790 1.0375999999999998e-19 22206264.0
CELA3B ENSG00000219073 protein_coding 1 22303514 22325135 2.4372e-12 22314324.0
CELA3A ENSG00000142789 protein_coding 1 22328149 22339032 8.051399999999999e-09 22333590.0
CDC42 ENSG00000070831 protein_coding 1 22379120 22419437 0.78728 22399278.0
WNT4 ENSG00000162552 protein_coding 1 22443798 22470462 0.12766 22457130.0
ZBTB40 ENSG00000184677 protein_coding 1 22778344 22857650 1.0543e-10 22817997.0
EPHA8 ENSG00000070886 protein_coding 1 22890057 22930087 1.8340000000000003e-10 22910072.0
C1QA ENSG00000173372 protein_coding 1 22962999 22966101 0.0038204000000000003 22964550.0
C1QC ENSG00000159189 protein_coding 1 22970123 22974603 0.048591 22972363.0
C1QB ENSG00000173369 protein_coding 1 22979255 22988031 0.15392 22983643.0
EPHB2 ENSG00000133216 protein_coding 1 23037332 23241818 0.99997 23139575.0
LACTBL1 ENSG00000215906 protein_coding 1 23279536 23291831 0.0014956 23285683.0
C1orf234 ENSG00000227868 protein_coding 1 23337327 23342343 0.007650499999999999 23339835.0
KDM1A ENSG00000004487 protein_coding 1 23345941 23410182 0.9966700000000001 23378061.0
LUZP1 ENSG00000169641 protein_coding 1 23410516 23504301 0.52955 23457408.0
HTR1D ENSG00000179546 protein_coding 1 23516993 23521222 0.00064061 23519107.0
HNRNPR ENSG00000125944 protein_coding 1 23630264 23670829 0.99935 23650546.0
ZNF436 ENSG00000125945 protein_coding 1 23685941 23695935 5.1273e-05 23690938.0
C1orf213 ENSG00000249087 protein_coding 1 23695490 23698332 0.027701999999999997 23696911.0
TCEA3 ENSG00000204219 protein_coding 1 23707554 23751233 0.0045078 23729393.0
ASAP3 ENSG00000088280 protein_coding 1 23755056 23811061 8.33e-12 23783058.0
E2F2 ENSG00000007968 protein_coding 1 23832922 23857712 0.25505 23845317.0
ID3 ENSG00000117318 protein_coding 1 23884409 23886285 0.72177 23885347.0
MDS2 ENSG00000197880 protein_coding 1 23907985 23967058 0.37737 23937521.0
RPL11 ENSG00000142676 protein_coding 1 24018269 24022915 0.96088 24020592.0
TCEB3 ENSG00000011007 protein_coding 1 24069645 24088549 1.0 24079097.0
PITHD1 ENSG00000057757 protein_coding 1 24104895 24114722 0.008093600000000001 24109808.0
LYPLA2 ENSG00000011009 protein_coding 1 24117460 24122029 0.94955 24119744.0
GALE ENSG00000117308 protein_coding 1 24122089 24127271 1.4757e-10 24124680.0
HMGCL ENSG00000117305 protein_coding 1 24128375 24165110 2.5638e-06 24146742.0
FUCA1 ENSG00000179163 protein_coding 1 24171567 24194784 2.6956000000000003e-08 24183175.0
CNR2 ENSG00000188822 protein_coding 1 24197016 24285549 6.536900000000001e-06 24241282.0
PNRC2 ENSG00000189266 protein_coding 1 24285599 24289952 0.33763000000000004 24287775.0
SRSF10 ENSG00000188529 protein_coding 1 24291294 24307417 0.42275 24299355.0
MYOM3 ENSG00000142661 protein_coding 1 24382525 24438665 1.4264e-47 24410595.0
IL22RA1 ENSG00000142677 protein_coding 1 24446261 24469611 0.0056855 24457936.0
IFNLR1 ENSG00000185436 protein_coding 1 24480647 24514449 0.062532 24497548.0
GRHL3 ENSG00000158055 protein_coding 1 24645812 24690972 0.99292 24668392.0
STPG1 ENSG00000001460 protein_coding 1 24683489 24743424 1.2042999999999999e-09 24713456.0
NIPAL3 ENSG00000001461 protein_coding 1 24742284 24799466 6.9573e-05 24770875.0
RCAN3 ENSG00000117602 protein_coding 1 24829387 24867530 0.00015715 24848458.0
NCMAP ENSG00000184454 protein_coding 1 24882602 24935819 0.040542 24909210.0
SRRM1 ENSG00000133226 protein_coding 1 24958207 24999758 1.0 24978982.0
CLIC4 ENSG00000169504 protein_coding 1 25071848 25170815 0.0010866 25121331.0
RUNX3 ENSG00000020633 protein_coding 1 25226002 25291612 0.84295 25258807.0
SYF2 ENSG00000117614 protein_coding 1 25549170 25558993 0.005613600000000001 25554081.0
C1orf63 ENSG00000117616 protein_coding 1 25568728 25664704 4.3086000000000003e-14 25616716.0
RHD ENSG00000187010 protein_coding 1 25598884 25656936 2.8534e-05 25627910.0
TMEM50A ENSG00000183726 protein_coding 1 25664408 25688852 0.16293 25676630.0
RHCE ENSG00000188672 protein_coding 1 25688740 25756683 0.0011629000000000001 25722711.0
TMEM57 ENSG00000204178 protein_coding 1 25757388 25826700 0.9975700000000001 25792044.0
LDLRAP1 ENSG00000157978 protein_coding 1 25870071 25895377 6.5037e-06 25882724.0
MAN1C1 ENSG00000117643 protein_coding 1 25943959 26112698 0.20933000000000002 26028328.0
SEPN1 ENSG00000162430 protein_coding 1 26126667 26144713 9.7863e-10 26135690.0
MTFR1L ENSG00000117640 protein_coding 1 26145131 26159432 0.31279 26152281.0
